,action_object_ratio
492,17.948611111111113
493,15.426785714285714
494,15.958015267175572
495,16.08076923076923
496,17.613513513513514
497,17.702083333333334
498,15.431168831168831
499,11.78
500,20.83859649122807
501,21.822222222222223
502,18.888
503,11.140372670807453
504,15.195238095238095
505,15.004854368932039
506,19.23235294117647
507,18.361764705882354
508,12.771232876712329
509,13.426428571428572
510,14.02
511,10.052898550724638
512,19.417857142857144
513,17.352542372881356
514,14.725
515,16.69120879120879
516,10.210614525139665
517,12.395726495726496
518,14.862237762237763
519,9.660416666666666
520,8.980555555555556
521,17.73148148148148
522,14.703030303030303
523,3.3087248322147653
524,13.013793103448275
525,20.011650485436892
526,14.675
527,16.761764705882353
528,17.312
529,15.043434343434344
530,17.249193548387098
531,17.314285714285713
532,15.73828125
533,16.445714285714285
534,19.437037037037037
535,16.06
536,18.72235294117647
537,17.54375
538,18.556962025316455
539,12.608264462809917
540,28.196296296296296
541,15.626666666666667
542,14.943396226415095
543,10.30940170940171
544,18.711764705882352
545,12.5504
546,9.149450549450549
547,17.569811320754717
548,30.407954545454544
549,16.797857142857143
550,19.818987341772154
551,9.642727272727273
552,18.935294117647057
553,13.766279069767442
554,10.336871508379888
555,15.516666666666667
556,14.525
557,10.483529411764707
558,19.2986301369863
559,16.81858407079646
560,15.371428571428572
561,23.034615384615385
562,14.959420289855073
563,15.116279069767442
564,11.873722627737227
565,14.845
566,16.15642857142857
567,14.897619047619047
568,13.050574712643678
569,24.56153846153846
570,16.87142857142857
571,18.803797468354432
572,16.752777777777776
573,20.363636363636363
574,17.612903225806452
575,14.725217391304348
576,10.145754716981132
577,14.617241379310345
578,17.48358208955224
579,16.627083333333335
580,4.8350877192982455
581,19.69090909090909
582,17.222429906542057
583,19.788235294117648
584,34.028
585,13.015189873417722
586,11.642105263157895
587,19.89404761904762
588,13.952380952380953
589,14.979545454545455
590,12.667832167832168
591,19.701428571428572
592,19.094949494949496
593,17.3
594,15.898601398601398
595,15.902521008403362
596,18.113888888888887
597,19.136111111111113
598,15.997916666666667
599,12.826315789473684
600,12.802409638554217
601,20.79
602,16.472340425531915
603,16.600746268656717
604,18.19814814814815
605,18.176923076923078
606,16.267605633802816
607,11.8171875
608,26.846666666666668
609,15.154216867469879
610,11.721782178217822
611,23.071428571428573
612,22.017241379310345
613,14.778205128205128
614,15.25
